answer,score,correct,cleaned_text,tokens,stemmed_tokens,lemmatized_tokens
adding the element to the end of the list so that it links to the element before it. when popping the element it takes the last element in the list and sets the previous one as the end of the list.,3.5,0.0,adding the element to the end of the list so that it links to the element before it when popping the element it takes the last element in the list and sets the previous one as the end of the list,"['adding', 'element', 'end', 'list', 'links', 'element', 'popping', 'element', 'takes', 'last', 'element', 'list', 'sets', 'previous', 'one', 'end', 'list']",ad element end list link element pop element take last element list set previou one end list,adding element end list link element popping element take last element list set previous one end list
"You can implement a stack using arrays or and linked list. By the use of pointers, that point elementnodeto the next element in the stack. By the use of pointers, the stack becomes a linked list.",2.5,0.0,you can implement a stack using arrays or and linked list by the use of pointers that point elementnodeto the next element in the stack by the use of pointers the stack becomes a linked list,"['implement', 'stack', 'using', 'arrays', 'linked', 'list', 'use', 'pointers', 'point', 'elementnodeto', 'next', 'element', 'stack', 'use', 'pointers', 'stack', 'becomes', 'linked', 'list']",implement stack use array link list use pointer point elementnodeto next element stack use pointer stack becom link list,implement stack using array linked list use pointer point elementnodeto next element stack use pointer stack becomes linked list
Elements are only inserted and removed from the head of the list. There is no header node or current pointer.,4.5,1.0,elements are only inserted and removed from the head of the list there is no header node or current pointer,"['elements', 'inserted', 'removed', 'head', 'list', 'header', 'node', 'current', 'pointer']",element insert remov head list header node current pointer,element inserted removed head list header node current pointer
use a linked list and keep track of a pointer that points to the first item,4.0,1.0,use a linked list and keep track of a pointer that points to the first item,"['use', 'linked', 'list', 'keep', 'track', 'pointer', 'points', 'first', 'item']",use link list keep track pointer point first item,use linked list keep track pointer point first item
"A singly linked list can already be easily used for LIFO data storage. Members of a stack can simply be pushed and popped from a list, the first item in will be the last out.",4.5,1.0,a singly linked list can already be easily used for lifo data storage members of a stack can simply be pushed and popped from a list the first item in will be the last out,"['singly', 'linked', 'list', 'already', 'easily', 'used', 'lifo', 'data', 'storage', 'members', 'stack', 'simply', 'pushed', 'popped', 'list', 'first', 'item', 'last']",singli link list alreadi easili use lifo data storag member stack simpli push pop list first item last,singly linked list already easily used lifo data storage member stack simply pushed popped list first item last
using pointer,1.5,0.0,using pointer,"['using', 'pointer']",use pointer,using pointer
the top is the first pointer.,3.0,0.0,the top is the first pointer,"['top', 'first', 'pointer']",top first pointer,top first pointer
Keep a pointer pointing to the last element entered at the front of the array and move the pointer back when you delete an element.,2.5,0.0,keep a pointer pointing to the last element entered at the front of the array and move the pointer back when you delete an element,"['keep', 'pointer', 'pointing', 'last', 'element', 'entered', 'front', 'array', 'move', 'pointer', 'back', 'delete', 'element']",keep pointer point last element enter front array move pointer back delet element,keep pointer pointing last element entered front array move pointer back delete element
"using linked list, you are pushing the node that contains each int to the stack until you get to the end of your linked list",2.5,0.0,using linked list you are pushing the node that contains each int to the stack until you get to the end of your linked list,"['using', 'linked', 'list', 'pushing', 'node', 'contains', 'int', 'stack', 'get', 'end', 'linked', 'list']",use link list push node contain int stack get end link list,using linked list pushing node contains int stack get end linked list
"have a linked list, and for each push, add an item onto beginning of the list, and for each pop remove the first element in the list.",5.0,1.0,have a linked list and for each push add an item onto beginning of the list and for each pop remove the first element in the list,"['linked', 'list', 'push', 'add', 'item', 'onto', 'beginning', 'list', 'pop', 'remove', 'first', 'element', 'list']",link list push add item onto begin list pop remov first element list,linked list push add item onto beginning list pop remove first element list
"Using a linked list is one way to implement a stack so that it can handle essentially any number of elements. It is usually convenient to put a data structure in its own module, thus, you will want to create files stack. h and a stack. c",2.0,0.0,using a linked list is one way to implement a stack so that it can handle essentially any number of elements it is usually convenient to put a data structure in its own module thus you will want to create files stack h and a stack c,"['using', 'linked', 'list', 'one', 'way', 'implement', 'stack', 'handle', 'essentially', 'number', 'elements', 'usually', 'convenient', 'put', 'data', 'structure', 'module', 'thus', 'want', 'create', 'files', 'stack', 'h', 'stack', 'c']",use link list one way implement stack handl essenti number element usual conveni put data structur modul thu want creat file stack h stack c,using linked list one way implement stack handle essentially number element usually convenient put data structure module thus want create file stack h stack c
"List based is preferred because it is not constrained to a fix size. The down fall is that it takes up more memory because each node has at least two parts, the item and the pointer.",5.0,1.0,list based is preferred because it is not constrained to a fix size the down fall is that it takes up more memory because each node has at least two parts the item and the pointer,"['list', 'based', 'preferred', 'constrained', 'fix', 'size', 'fall', 'takes', 'memory', 'node', 'least', 'two', 'parts', 'item', 'pointer']",list base prefer constrain fix size fall take memori node least two part item pointer,list based preferred constrained fix size fall take memory node least two part item pointer
List based is preferred because the stack you create is not limited in size and can increase or decrease in size as needed.,5.0,1.0,list based is preferred because the stack you create is not limited in size and can increase or decrease in size as needed,"['list', 'based', 'preferred', 'stack', 'create', 'limited', 'size', 'increase', 'decrease', 'size', 'needed']",list base prefer stack creat limit size increas decreas size need,list based preferred stack create limited size increase decrease size needed
"Array-based prevents the push operation from adding an item to the stack if the stack 's size limit, which is the size of the array, has been reached. List-base much simpler to write and does not have a fixed size.",5.0,1.0,array-based prevents the push operation from adding an item to the stack if the stack s size limit which is the size of the array has been reached list-base much simpler to write and does not have a fixed size,"['array-based', 'prevents', 'push', 'operation', 'adding', 'item', 'stack', 'stack', 'size', 'limit', 'size', 'array', 'reached', 'list-base', 'much', 'simpler', 'write', 'fixed', 'size']",array-bas prevent push oper ad item stack stack size limit size array reach list-bas much simpler write fix size,array-based prevents push operation adding item stack stack size limit size array reached list-base much simpler write fixed size
"Array based because they are faster, easier to keep track of and less complexity in code.",2.5,0.0,array based because they are faster easier to keep track of and less complexity in code,"['array', 'based', 'faster', 'easier', 'keep', 'track', 'less', 'complexity', 'code']",array base faster easier keep track less complex code,array based faster easier keep track le complexity code
list-based because it does not use a fixed size like an array would.,5.0,1.0,list-based because it does not use a fixed size like an array would,"['list-based', 'use', 'fixed', 'size', 'like', 'array', 'would']",list-bas use fix size like array would,list-based use fixed size like array would
usually linked list because it does not have a fixed size. But if you know or want to set a max size array is better.,5.0,1.0,usually linked list because it does not have a fixed size but if you know or want to set a max size array is better,"['usually', 'linked', 'list', 'fixed', 'size', 'know', 'want', 'set', 'max', 'size', 'array', 'better']",usual link list fix size know want set max size array better,usually linked list fixed size know want set max size array better
List-based. Allows more flexablity with size of the stack.,5.0,1.0,list-based allows more flexablity with size of the stack,"['list-based', 'allows', 'flexablity', 'size', 'stack']",list-bas allow flexabl size stack,list-based allows flexablity size stack
Linked lists are preferred for implementing stacks because they are not limited to a set number of elements.,5.0,1.0,linked lists are preferred for implementing stacks because they are not limited to a set number of elements,"['linked', 'lists', 'preferred', 'implementing', 'stacks', 'limited', 'set', 'number', 'elements']",link list prefer implement stack limit set number element,linked list preferred implementing stack limited set number element
The list-based implementation is preferred since the big O1is very efficient.,3.0,0.0,the list-based implementation is preferred since the big o1is very efficient,"['list-based', 'implementation', 'preferred', 'since', 'big', 'o1is', 'efficient']",list-bas implement prefer sinc big o1i effici,list-based implementation preferred since big o1is efficient
"Linked list implementation is preferred. That way, the list can be moved along without iteration.",3.0,0.0,linked list implementation is preferred that way the list can be moved along without iteration,"['linked', 'list', 'implementation', 'preferred', 'way', 'list', 'moved', 'along', 'without', 'iteration']",link list implement prefer way list move along without iter,linked list implementation preferred way list moved along without iteration
list because it its size is not determined,5.0,1.0,list because it its size is not determined,"['list', 'size', 'determined']",list size determin,list size determined
Linked list because it takes up less memory and is scalable,3.0,0.0,linked list because it takes up less memory and is scalable,"['linked', 'list', 'takes', 'less', 'memory', 'scalable']",link list take less memori scalabl,linked list take le memory scalable
"List-based, as the list can be grown dynamically, and as the head node is easily accessible.",5.0,1.0,list-based as the list can be grown dynamically and as the head node is easily accessible,"['list-based', 'list', 'grown', 'dynamically', 'head', 'node', 'easily', 'accessible']",list-bas list grown dynam head node easili access,list-based list grown dynamically head node easily accessible
list based because the nodes are easier to work with and can be traversed easier,3.0,0.0,list based because the nodes are easier to work with and can be traversed easier,"['list', 'based', 'nodes', 'easier', 'work', 'traversed', 'easier']",list base node easier work travers easier,list based node easier work traversed easier
"list based, because of the lower processing overhead and nearly unlimited space, due to linked list design.",5.0,1.0,list based because of the lower processing overhead and nearly unlimited space due to linked list design,"['list', 'based', 'lower', 'processing', 'overhead', 'nearly', 'unlimited', 'space', 'due', 'linked', 'list', 'design']",list base lower process overhead nearli unlimit space due link list design,list based lower processing overhead nearly unlimited space due linked list design
"list-based It can grow and shrink dynamically, unlike the fixed size array.",5.0,1.0,list-based it can grow and shrink dynamically unlike the fixed size array,"['list-based', 'grow', 'shrink', 'dynamically', 'unlike', 'fixed', 'size', 'array']",list-bas grow shrink dynam unlik fix size array,list-based grow shrink dynamically unlike fixed size array
"list based because arrays can become full, lists can grow or shrink as needed",5.0,1.0,list based because arrays can become full lists can grow or shrink as needed,"['list', 'based', 'arrays', 'become', 'full', 'lists', 'grow', 'shrink', 'needed']",list base array becom full list grow shrink need,list based array become full list grow shrink needed
List-bases implentation is preferred. One of the main reasons is because of that the list has no fixed size.,5.0,1.0,list-bases implentation is preferred one of the main reasons is because of that the list has no fixed size,"['list-bases', 'implentation', 'preferred', 'one', 'main', 'reasons', 'list', 'fixed', 'size']",list-bas implent prefer one main reason list fix size,list-bases implentation preferred one main reason list fixed size
Array is preferred. Linked list implementation requires extra space to store pointers. Space is allocated dynamically in the list-based which takes more time.,2.5,0.0,array is preferred linked list implementation requires extra space to store pointers space is allocated dynamically in the list-based which takes more time,"['array', 'preferred', 'linked', 'list', 'implementation', 'requires', 'extra', 'space', 'store', 'pointers', 'space', 'allocated', 'dynamically', 'list-based', 'takes', 'time']",array prefer link list implement requir extra space store pointer space alloc dynam list-bas take time,array preferred linked list implementation requires extra space store pointer space allocated dynamically list-based take time
link list is preferred because it makes pushing elements easier because there is no limit other than memory to the number of elements,5.0,1.0,link list is preferred because it makes pushing elements easier because there is no limit other than memory to the number of elements,"['link', 'list', 'preferred', 'makes', 'pushing', 'elements', 'easier', 'limit', 'memory', 'number', 'elements']",link list prefer make push element easier limit memori number element,link list preferred make pushing element easier limit memory number element
"List-based implementation is much easier to implement, and allows the stack to scale as necessary. It is therefore the preferred implementation.",5.0,1.0,list-based implementation is much easier to implement and allows the stack to scale as necessary it is therefore the preferred implementation,"['list-based', 'implementation', 'much', 'easier', 'implement', 'allows', 'stack', 'scale', 'necessary', 'therefore', 'preferred', 'implementation']",list-bas implement much easier implement allow stack scale necessari therefor prefer implement,list-based implementation much easier implement allows stack scale necessary therefore preferred implementation
Array based implementation requires less memory than a list based. inceasing the size of a resizeable array can waste storage and time,3.5,0.0,array based implementation requires less memory than a list based inceasing the size of a resizeable array can waste storage and time,"['array', 'based', 'implementation', 'requires', 'less', 'memory', 'list', 'based', 'inceasing', 'size', 'resizeable', 'array', 'waste', 'storage', 'time']",array base implement requir less memori list base inceas size resiz array wast storag time,array based implementation requires le memory list based inceasing size resizeable array waste storage time
"in an array based stack you would need to pre-determine a size, where in a list you can increase or decrease the size however you want.",5.0,1.0,in an array based stack you would need to pre-determine a size where in a list you can increase or decrease the size however you want,"['array', 'based', 'stack', 'would', 'need', 'pre-determine', 'size', 'list', 'increase', 'decrease', 'size', 'however', 'want']",array base stack would need pre-determin size list increas decreas size howev want,array based stack would need pre-determine size list increase decrease size however want
A list-based implementation is preferred because the list is more flexible than a array.,5.0,1.0,a list-based implementation is preferred because the list is more flexible than a array,"['list-based', 'implementation', 'preferred', 'list', 'flexible', 'array']",list-bas implement prefer list flexibl array,list-based implementation preferred list flexible array
i would think a list based would be better because you can change the pointers of the nodes to add or remove things from your stack,4.0,1.0,i would think a list based would be better because you can change the pointers of the nodes to add or remove things from your stack,"['would', 'think', 'list', 'based', 'would', 'better', 'change', 'pointers', 'nodes', 'add', 'remove', 'things', 'stack']",would think list base would better chang pointer node add remov thing stack,would think list based would better change pointer node add remove thing stack
"list based, because it is much more flexible, easier to use, and doesnt need to have a max size defined when it is made.",5.0,1.0,list based because it is much more flexible easier to use and doesnt need to have a max size defined when it is made,"['list', 'based', 'much', 'flexible', 'easier', 'use', 'doesnt', 'need', 'max', 'size', 'defined', 'made']",list base much flexibl easier use doesnt need max size defin made,list based much flexible easier use doesnt need max size defined made
array based list is preferred because it can hold any size as long as u specify it.,1.0,0.0,array based list is preferred because it can hold any size as long as u specify it,"['array', 'based', 'list', 'preferred', 'hold', 'size', 'long', 'u', 'specify']",array base list prefer hold size long u specifi,array based list preferred hold size long u specify
They are converted to post fix expressions. It still follow the order of precedence for the operators.,5.0,1.0,they are converted to post fix expressions it still follow the order of precedence for the operators,"['converted', 'post', 'fix', 'expressions', 'still', 'follow', 'order', 'precedence', 'operators']",convert post fix express still follow order preced oper,converted post fix expression still follow order precedence operator
They are first converted to postfix expressions and then evaluated.,5.0,1.0,they are first converted to postfix expressions and then evaluated,"['first', 'converted', 'postfix', 'expressions', 'evaluated']",first convert postfix express evalu,first converted postfix expression evaluated
"Computers cannot evaulate infix expressions, it must first convert infix to postfix expression then it can evaluate.",5.0,1.0,computers cannot evaulate infix expressions it must first convert infix to postfix expression then it can evaluate,"['computers', 'evaulate', 'infix', 'expressions', 'must', 'first', 'convert', 'infix', 'postfix', 'expression', 'evaluate']",comput evaul infix express must first convert infix postfix express evalu,computer evaulate infix expression must first convert infix postfix expression evaluate
By using parentheses to have order in the expression.,2.5,0.0,by using parentheses to have order in the expression,"['using', 'parentheses', 'order', 'expression']",use parenthes order express,using parenthesis order expression
In postfix notation.,4.0,1.0,in postfix notation,"['postfix', 'notation']",postfix notat,postfix notation
computers usually convert infix expressions to post fix expression and evaluate them using a stack.,5.0,1.0,computers usually convert infix expressions to post fix expression and evaluate them using a stack,"['computers', 'usually', 'convert', 'infix', 'expressions', 'post', 'fix', 'expression', 'evaluate', 'using', 'stack']",comput usual convert infix express post fix express evalu use stack,computer usually convert infix expression post fix expression evaluate using stack
they are converted to postfix,5.0,1.0,they are converted to postfix,"['converted', 'postfix']",convert postfix,converted postfix
Infix expressions are interpreted as postfix expressions by implementing stacks.,5.0,1.0,infix expressions are interpreted as postfix expressions by implementing stacks,"['infix', 'expressions', 'interpreted', 'postfix', 'expressions', 'implementing', 'stacks']",infix express interpret postfix express implement stack,infix expression interpreted postfix expression implementing stack
They are first converted into an equivalent postfix expression so it can be read by the computer.,5.0,1.0,they are first converted into an equivalent postfix expression so it can be read by the computer,"['first', 'converted', 'equivalent', 'postfix', 'expression', 'read', 'computer']",first convert equival postfix express read comput,first converted equivalent postfix expression read computer
"The computer translates the infix expression to a postfix expression, then solves.",5.0,1.0,the computer translates the infix expression to a postfix expression then solves,"['computer', 'translates', 'infix', 'expression', 'postfix', 'expression', 'solves']",comput translat infix express postfix express solv,computer translates infix expression postfix expression solves
in postfix format,4.0,1.0,in postfix format,"['postfix', 'format']",postfix format,postfix format
they use parenthisis and a stack to determine which evaluations need to be made first,3.0,0.0,they use parenthisis and a stack to determine which evaluations need to be made first,"['use', 'parenthisis', 'stack', 'determine', 'evaluations', 'need', 'made', 'first']",use parenthisi stack determin evalu need made first,use parenthisis stack determine evaluation need made first
By throwing variables into a postfix expression and operands onto a parentheses regulated stack until end parentheses and enough variables to operate on are encountered.,4.5,1.0,by throwing variables into a postfix expression and operands onto a parentheses regulated stack until end parentheses and enough variables to operate on are encountered,"['throwing', 'variables', 'postfix', 'expression', 'operands', 'onto', 'parentheses', 'regulated', 'stack', 'end', 'parentheses', 'enough', 'variables', 'operate', 'encountered']",throw variabl postfix express operand onto parenthes regul stack end parenthes enough variabl oper encount,throwing variable postfix expression operand onto parenthesis regulated stack end parenthesis enough variable operate encountered
by being passed to the function by a leading term,1.5,0.0,by being passed to the function by a leading term,"['passed', 'function', 'leading', 'term']",pass function lead term,passed function leading term
"i have an hard time explaining this so i will show how infix is evaluated instead. Start with an infix expression, like,5 plus 2multiplied by 5plus400 divided by2 plus 3, and push items until you get a  and once that happens, perform the operations until you reach an  ... with that complete, you will now have 7 multiplied by 5plus400 divided by2 plus 3as now the expression that will be evaluated ... perform last step again ...35 plus400 divided by2 plus 3is now the stack ... repeat agian ...35 plus400 divided by 5 is now the stack after that ... repeat ...35 plus 80is now the stack, repeat again ... 115 is now the stack, and is returned.",2.5,0.0,i have an hard time explaining this so i will show how infix is evaluated instead start with an infix expression like5 plus 2multiplied by 5plus400 divided by2 plus 3 and push items until you get a and once that happens perform the operations until you reach an with that complete you will now have 7 multiplied by 5plus400 divided by2 plus 3as now the expression that will be evaluated perform last step again 35 plus400 divided by2 plus 3is now the stack repeat agian 35 plus400 divided by 5 is now the stack after that repeat 35 plus 80is now the stack repeat again 115 is now the stack and is returned,"['hard', 'time', 'explaining', 'show', 'infix', 'evaluated', 'instead', 'start', 'infix', 'expression', 'like5', 'plus', '2multiplied', '5plus400', 'divided', 'by2', 'plus', '3', 'push', 'items', 'get', 'happens', 'perform', 'operations', 'reach', 'complete', '7', 'multiplied', '5plus400', 'divided', 'by2', 'plus', '3as', 'expression', 'evaluated', 'perform', 'last', 'step', '35', 'plus400', 'divided', 'by2', 'plus', '3is', 'stack', 'repeat', 'agian', '35', 'plus400', 'divided', '5', 'stack', 'repeat', '35', 'plus', '80is', 'stack', 'repeat', '115', 'stack', 'returned']",hard time explain show infix evalu instead start infix express like5 plu 2multipli 5plus400 divid by2 plu 3 push item get happen perform oper reach complet 7 multipli 5plus400 divid by2 plu 3a express evalu perform last step 35 plus400 divid by2 plu 3i stack repeat agian 35 plus400 divid 5 stack repeat 35 plu 80i stack repeat 115 stack return,hard time explaining show infix evaluated instead start infix expression like5 plus 2multiplied 5plus400 divided by2 plus 3 push item get happens perform operation reach complete 7 multiplied 5plus400 divided by2 plus 3as expression evaluated perform last step 35 plus400 divided by2 plus 3is stack repeat agian 35 plus400 divided 5 stack repeat 35 plus 80is stack repeat 115 stack returned
The infix expression is converted to postfix form,5.0,1.0,the infix expression is converted to postfix form,"['infix', 'expression', 'converted', 'postfix', 'form']",infix express convert postfix form,infix expression converted postfix form
by converting them to postfix expressions and putting the operations in a stack,5.0,1.0,by converting them to postfix expressions and putting the operations in a stack,"['converting', 'postfix', 'expressions', 'putting', 'operations', 'stack']",convert postfix express put oper stack,converting postfix expression putting operation stack
The computer converts the infix expression to postfix form. Then evaluates the postfix expression.,5.0,1.0,the computer converts the infix expression to postfix form then evaluates the postfix expression,"['computer', 'converts', 'infix', 'expression', 'postfix', 'form', 'evaluates', 'postfix', 'expression']",comput convert infix express postfix form evalu postfix express,computer convert infix expression postfix form evaluates postfix expression
infix expressions are converted to postfix expressions before they can be evaluated by a computer. Operands stay in the same order. Operators always follow the operands.,5.0,1.0,infix expressions are converted to postfix expressions before they can be evaluated by a computer operands stay in the same order operators always follow the operands,"['infix', 'expressions', 'converted', 'postfix', 'expressions', 'evaluated', 'computer', 'operands', 'stay', 'order', 'operators', 'always', 'follow', 'operands']",infix express convert postfix express evalu comput operand stay order oper alway follow operand,infix expression converted postfix expression evaluated computer operand stay order operator always follow operand
infix expressions are pointers evaluated by reference to the memory location,1.5,0.0,infix expressions are pointers evaluated by reference to the memory location,"['infix', 'expressions', 'pointers', 'evaluated', 'reference', 'memory', 'location']",infix express pointer evalu refer memori locat,infix expression pointer evaluated reference memory location
computers convert infix expressions to postfix form before evaluation,5.0,1.0,computers convert infix expressions to postfix form before evaluation,"['computers', 'convert', 'infix', 'expressions', 'postfix', 'form', 'evaluation']",comput convert infix express postfix form evalu,computer convert infix expression postfix form evaluation
convert infix expressions to postfix expression and evaluate the postfix expression,5.0,1.0,convert infix expressions to postfix expression and evaluate the postfix expression,"['convert', 'infix', 'expressions', 'postfix', 'expression', 'evaluate', 'postfix', 'expression']",convert infix express postfix express evalu postfix express,convert infix expression postfix expression evaluate postfix expression
"When an operand is entered, the computer Pushes it onto a stack When an operator is entered, the computer Applies it to the top two operands of the stack Pops the operands from the stack Pushes the result of the operation onto the stack",4.0,1.0,when an operand is entered the computer pushes it onto a stack when an operator is entered the computer applies it to the top two operands of the stack pops the operands from the stack pushes the result of the operation onto the stack,"['operand', 'entered', 'computer', 'pushes', 'onto', 'stack', 'operator', 'entered', 'computer', 'applies', 'top', 'two', 'operands', 'stack', 'pops', 'operands', 'stack', 'pushes', 'result', 'operation', 'onto', 'stack']",operand enter comput push onto stack oper enter comput appli top two operand stack pop operand stack push result oper onto stack,operand entered computer push onto stack operator entered computer applies top two operand stack pop operand stack push result operation onto stack
Computers convert an infix expression into a postfix expression. They then push the numbers onto a stack and pop them out as they are needed.,5.0,1.0,computers convert an infix expression into a postfix expression they then push the numbers onto a stack and pop them out as they are needed,"['computers', 'convert', 'infix', 'expression', 'postfix', 'expression', 'push', 'numbers', 'onto', 'stack', 'pop', 'needed']",comput convert infix express postfix express push number onto stack pop need,computer convert infix expression postfix expression push number onto stack pop needed
"infix expressions are converted to postfix,i. e. 3 plus 2 is changed to 32 plus",5.0,1.0,infix expressions are converted to postfixi e 3 plus 2 is changed to 32 plus,"['infix', 'expressions', 'converted', 'postfixi', 'e', '3', 'plus', '2', 'changed', '32', 'plus']",infix express convert postfixi e 3 plu 2 chang 32 plu,infix expression converted postfixi e 3 plus 2 changed 32 plus
"they are transformed into post-fix expressions, then evaluated with a stack.",5.0,1.0,they are transformed into post-fix expressions then evaluated with a stack,"['transformed', 'post-fix', 'expressions', 'evaluated', 'stack']",transform post-fix express evalu stack,transformed post-fix expression evaluated stack
"Writing arithmetic expressions is called infix notation. This is because a binary operatorlike plusis written in between its two operandsas in a plus b. There are two alternative forms of notation used in certain situations. One is prefix notation, in which an operator is written before its operands. In prefix notation, the sum of a and b is written plus a b. This is the notation used to write function calls in mathematics and computer science. It is also used in the Lisp and Scheme programming languages. In postfix notation, an operator is written after its operands. The sum of a and b is written a b plus.You may have seen this as reverse Polish notation.Postfix notation forms the conceptual basis for the way that arithmetic expressions are evaluated by a computer. One important characteristic of both postfix and prefix notations is that they are unambiguous; no parentheses are needed to indicate the order of operations.",5.0,1.0,writing arithmetic expressions is called infix notation this is because a binary operatorlike plusis written in between its two operandsas in a plus b there are two alternative forms of notation used in certain situations one is prefix notation in which an operator is written before its operands in prefix notation the sum of a and b is written plus a b this is the notation used to write function calls in mathematics and computer science it is also used in the lisp and scheme programming languages in postfix notation an operator is written after its operands the sum of a and b is written a b plusyou may have seen this as reverse polish notationpostfix notation forms the conceptual basis for the way that arithmetic expressions are evaluated by a computer one important characteristic of both postfix and prefix notations is that they are unambiguous no parentheses are needed to indicate the order of operations,"['writing', 'arithmetic', 'expressions', 'called', 'infix', 'notation', 'binary', 'operatorlike', 'plusis', 'written', 'two', 'operandsas', 'plus', 'b', 'two', 'alternative', 'forms', 'notation', 'used', 'certain', 'situations', 'one', 'prefix', 'notation', 'operator', 'written', 'operands', 'prefix', 'notation', 'sum', 'b', 'written', 'plus', 'b', 'notation', 'used', 'write', 'function', 'calls', 'mathematics', 'computer', 'science', 'also', 'used', 'lisp', 'scheme', 'programming', 'languages', 'postfix', 'notation', 'operator', 'written', 'operands', 'sum', 'b', 'written', 'b', 'plusyou', 'may', 'seen', 'reverse', 'polish', 'notationpostfix', 'notation', 'forms', 'conceptual', 'basis', 'way', 'arithmetic', 'expressions', 'evaluated', 'computer', 'one', 'important', 'characteristic', 'postfix', 'prefix', 'notations', 'unambiguous', 'parentheses', 'needed', 'indicate', 'order', 'operations']",write arithmet express call infix notat binari operatorlik plusi written two operandsa plu b two altern form notat use certain situat one prefix notat oper written operand prefix notat sum b written plu b notat use write function call mathemat comput scienc also use lisp scheme program languag postfix notat oper written operand sum b written b plusyou may seen revers polish notationpostfix notat form conceptu basi way arithmet express evalu comput one import characterist postfix prefix notat unambigu parenthes need indic order oper,writing arithmetic expression called infix notation binary operatorlike plusis written two operandsas plus b two alternative form notation used certain situation one prefix notation operator written operand prefix notation sum b written plus b notation used write function call mathematics computer science also used lisp scheme programming language postfix notation operator written operand sum b written b plusyou may seen reverse polish notationpostfix notation form conceptual basis way arithmetic expression evaluated computer one important characteristic postfix prefix notation unambiguous parenthesis needed indicate order operation
isEmptry or or determines if the stack is full or not pop or or to remove the top element if it is not the on you are looking for search or or you compare each element of the stack to the data you are looking for.,3.0,0.0,isemptry or or determines if the stack is full or not pop or or to remove the top element if it is not the on you are looking for search or or you compare each element of the stack to the data you are looking for,"['isemptry', 'determines', 'stack', 'full', 'pop', 'remove', 'top', 'element', 'looking', 'search', 'compare', 'element', 'stack', 'data', 'looking']",isemptri determin stack full pop remov top element look search compar element stack data look,isemptry determines stack full pop remove top element looking search compare element stack data looking
You would have to keep using peek or getTop to see what the top element is then popping the top element until peek or getTop provides the element you are looking for.,3.0,0.0,you would have to keep using peek or gettop to see what the top element is then popping the top element until peek or gettop provides the element you are looking for,"['would', 'keep', 'using', 'peek', 'gettop', 'see', 'top', 'element', 'popping', 'top', 'element', 'peek', 'gettop', 'provides', 'element', 'looking']",would keep use peek gettop see top element pop top element peek gettop provid element look,would keep using peek gettop see top element popping top element peek gettop provides element looking
Push adds a given node to the top of the stack leaving previous nodes below. Pop removes and returns the current top node of the stack.,3.0,0.0,push adds a given node to the top of the stack leaving previous nodes below pop removes and returns the current top node of the stack,"['push', 'adds', 'given', 'node', 'top', 'stack', 'leaving', 'previous', 'nodes', 'pop', 'removes', 'returns', 'current', 'top', 'node', 'stack']",push add given node top stack leav previou node pop remov return current top node stack,push add given node top stack leaving previous node pop remove return current top node stack
"Using linked lists and stacks, you would need a temp stack to retain the values. Then you would use the Pop function to pop off each element and then compare it. If its not the element your looking for, Push it to the temp stack. Repeat until the element is found. When you find it, Pop off the temp stack back onto the regular stack to have a complete stack again.",5.0,1.0,using linked lists and stacks you would need a temp stack to retain the values then you would use the pop function to pop off each element and then compare it if its not the element your looking for push it to the temp stack repeat until the element is found when you find it pop off the temp stack back onto the regular stack to have a complete stack again,"['using', 'linked', 'lists', 'stacks', 'would', 'need', 'temp', 'stack', 'retain', 'values', 'would', 'use', 'pop', 'function', 'pop', 'element', 'compare', 'element', 'looking', 'push', 'temp', 'stack', 'repeat', 'element', 'found', 'find', 'pop', 'temp', 'stack', 'back', 'onto', 'regular', 'stack', 'complete', 'stack']",use link list stack would need temp stack retain valu would use pop function pop element compar element look push temp stack repeat element found find pop temp stack back onto regular stack complet stack,using linked list stack would need temp stack retain value would use pop function pop element compare element looking push temp stack repeat element found find pop temp stack back onto regular stack complete stack
"Pop each item off the top until you find what you are looking for. If the stack ends up empty and you never found the item, then it does not exist in the stack. It may also be necessary to save the popped values in case you want to recreate the stack.",5.0,1.0,pop each item off the top until you find what you are looking for if the stack ends up empty and you never found the item then it does not exist in the stack it may also be necessary to save the popped values in case you want to recreate the stack,"['pop', 'item', 'top', 'find', 'looking', 'stack', 'ends', 'empty', 'never', 'found', 'item', 'exist', 'stack', 'may', 'also', 'necessary', 'save', 'popped', 'values', 'case', 'want', 'recreate', 'stack']",pop item top find look stack end empti never found item exist stack may also necessari save pop valu case want recreat stack,pop item top find looking stack end empty never found item exist stack may also necessary save popped value case want recreate stack
"if the stack is implemented using an array you could simply search the array for the item. If the stack is implemented using a linked list you would have to pop the values off of the stack until either the value is found or the stack is empty, you would then have to have the items put back into the list.",4.5,1.0,if the stack is implemented using an array you could simply search the array for the item if the stack is implemented using a linked list you would have to pop the values off of the stack until either the value is found or the stack is empty you would then have to have the items put back into the list,"['stack', 'implemented', 'using', 'array', 'could', 'simply', 'search', 'array', 'item', 'stack', 'implemented', 'using', 'linked', 'list', 'would', 'pop', 'values', 'stack', 'either', 'value', 'found', 'stack', 'empty', 'would', 'items', 'put', 'back', 'list']",stack implement use array could simpli search array item stack implement use link list would pop valu stack either valu found stack empti would item put back list,stack implemented using array could simply search array item stack implemented using linked list would pop value stack either value found stack empty would item put back list
